Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
228,189,342,300,160,162,16,47,31.203761755485893,31.0,4.24402788433953
289,176,220,300,160,148,15,47,28.543887147335422,28.0,4.83550270990346
356,282,294,300,160,145,16,47,31.29858934169279,31.0,4.580971055975553
446,645,321,300,160,158,15,49,31.7641065830721,32.0,4.280523442479682
530,1048,305,300,160,146,17,47,30.5423197492163,30.0,4.159130411352616
547,1353,228,300,160,154,14,46,30.552899686520377,30.0,5.161910571234559
494,1284,296,300,160,125,13,45,28.372648902821318,28.0,5.004958782952215
417,213,266,300,160,140,15,48,30.95924764890282,31.0,4.509558020532711
296,387,268,300,160,136,16,46,31.185344827586206,31.0,4.558541704021235
190,599,251,300,160,158,16,45,31.1230407523511,31.0,4.302682202929363
113,745,294,300,160,137,15,48,31.188479623824453,31.0,5.0735322360164705
69,690,284,300,160,160,13,44,27.811520376175547,28.0,4.405501214237079
83,226,306,300,160,153,14,46,29.612068965517242,29.0,4.705427245494491
157,435,190,300,160,150,15,43,28.08346394984326,28.0,4.056769091514395
256,637,231,300,160,156,15,50,31.769200626959247,32.0,5.163056734812833
321,816,279,300,160,146,16,45,29.80485893416928,30.0,4.253194436083885
402,802,269,300,160,151,16,49,29.570532915360502,30.0,4.594672193820338
505,238,394,300,160,136,15,47,29.813871473354233,30.0,5.352488542821531
568,475,298,300,160,138,15,47,28.687304075235108,29.0,4.772425558355634
580,755,328,300,160,156,17,43,29.877351097178682,30.0,3.894202894149971
546,916,346,300,160,157,18,48,31.588557993730408,32.0,4.351520556019246
486,912,155,300,160,155,15,43,29.932993730407524,30.0,4.358608655004967
345,211,251,300,160,135,14,45,30.045454545454547,30.0,3.968169160479225
210,343,205,300,160,164,14,48,29.13283699059561,29.0,4.780936554058159
126,539,182,300,160,143,13,45,28.937695924764892,29.0,4.481811625178864
58,694,169,300,160,140,13,49,27.990203761755485,28.0,4.899329615313128
89,710,420,300,160,138,13,54,28.96551724137931,29.0,5.368000126622633
167,229,239,300,160,156,14,44,30.112460815047022,30.0,4.426016865348762
277,322,251,300,160,159,13,46,29.274294670846395,29.0,4.513737032069303
346,496,232,300,160,135,14,47,29.19396551724138,29.0,4.175752286556944
456,569,290,300,160,146,12,43,29.45101880877743,29.0,4.359792303617308
530,535,250,300,160,135,16,49,31.765282131661444,32.0,4.907546648311629
592,232,292,300,160,135,16,48,29.925940438871475,30.0,4.384310636600463
631,292,309,300,160,168,17,46,30.788793103448278,31.0,4.201580138398906
576,364,211,300,160,160,15,45,28.739420062695924,29.0,4.456675558131182
497,444,292,300,160,174,15,47,30.983150470219435,31.0,4.540667660356803
382,473,255,300,160,135,14,49,30.065830721003135,30.0,4.663140853235365
232,282,186,300,160,152,17,46,31.130094043887148,31.0,4.33956468107687
129,415,275,300,160,160,18,46,31.55525078369906,32.0,4.464954515362376
39,539,219,300,160,147,17,45,30.99412225705329,31.0,4.568655639787176
74,660,234,300,160,130,17,46,31.850705329153605,32.0,4.389362619413569
149,702,162,300,160,148,16,48,29.188087774294672,29.0,4.775759958085064
237,294,338,300,160,153,16,46,29.300940438871475,29.0,4.253749855164061
319,480,389,300,160,152,14,48,30.400470219435736,30.0,4.953969919237688
370,635,273,300,160,154,15,47,28.171238244514107,28.0,4.223579544897868
460,694,319,300,160,152,11,50,29.296238244514107,29.0,5.199621847201762
512,680,230,300,160,145,15,48,29.84012539184953,30.0,4.35920328452493
552,297,415,300,160,161,15,44,30.390282131661444,30.0,4.228915938446355
525,440,343,300,160,149,15,46,29.719435736677116,30.0,4.204934218500973
448,626,244,300,160,135,18,48,31.188479623824453,31.0,4.250315371893784
335,615,320,300,160,139,16,46,29.42398119122257,29.0,4.59321993993039
196,539,313,300,160,162,15,50,30.536833855799372,30.0,4.659677361183619
114,111,196,300,160,159,14,45,27.63166144200627,27.0,4.6331638849104015
35,150,205,300,160,121,15,48,31.19984326018809,31.0,5.0012568928568335
