Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
261,596,477,300,640,399,94,141,119.46238244514106,119.0,6.861436141413927
315,338,424,300,640,397,98,149,122.24843260188088,123.0,7.568249905636852
350,334,274,300,640,393,97,141,117.59639498432603,117.0,7.149004326892729
407,460,435,300,640,402,95,143,119.34208463949844,119.0,6.75263678064123
381,549,569,300,640,400,98,143,119.74137931034483,120.0,6.421924094014956
328,487,486,300,640,432,94,144,118.42241379310344,119.0,6.721119509809278
231,266,321,300,640,400,100,149,124.05721003134796,124.0,7.849676214181422
133,399,254,300,640,408,99,144,122.13675548589342,122.0,7.124928431016651
72,585,242,300,640,403,90,144,118.97217868338558,119.0,6.76975295915197
18,710,315,300,640,393,96,140,119.64615987460814,120.0,6.793917918008317
35,586,576,300,640,430,94,146,121.35266457680251,121.0,7.1424325288945525
80,327,348,300,640,402,94,141,117.82131661442006,118.0,7.753210488222084
127,293,242,300,640,401,100,147,120.77272727272727,121.0,6.83333217487195
183,415,353,300,640,392,96,146,119.9557210031348,120.0,7.776360681703319
194,536,542,300,640,402,95,149,121.22492163009404,121.0,6.9017084507615
253,503,400,300,640,397,93,144,120.56152037617555,121.0,7.045373025896942
287,308,333,300,640,387,99,151,122.08620689655173,122.0,7.377607250807166
320,306,384,300,640,409,95,144,118.17202194357367,118.0,7.209838561805165
300,440,427,300,640,421,91,146,123.00039184952978,123.0,7.886513815364401
257,567,329,300,640,395,92,144,118.7257053291536,119.0,7.06197358374379
190,493,434,300,640,391,92,143,117.27507836990596,117.0,7.180850508266506
100,303,527,300,640,407,92,143,117.11442006269593,117.0,7.568459479685918
57,272,358,300,640,409,94,145,120.39694357366771,120.0,7.383284522810865
13,559,329,300,640,404,94,150,119.81700626959248,120.0,7.4780646292143516
36,909,364,300,640,363,99,147,122.05603448275862,122.0,6.926590756626432
74,1237,345,300,640,397,93,146,119.65634796238244,120.0,7.170822573491104
124,1273,322,300,640,391,94,146,121.40948275862068,122.0,7.796216491477846
178,231,45,300,640,397,97,148,120.7378526645768,121.0,7.832484588218942
196,495,425,300,640,409,95,150,117.77899686520377,118.0,7.6269648846108735
275,762,403,300,640,386,92,148,119.25313479623824,119.0,7.71307755750986
278,950,419,300,640,417,91,146,117.68064263322884,118.0,8.12892595639654
302,846,522,300,640,405,92,146,120.19122257053291,120.0,7.653975430103734
289,172,481,300,640,376,93,146,119.83581504702194,120.0,8.501387644999921
231,266,546,300,640,392,94,144,117.77155172413794,118.0,6.935942195828649
174,386,389,300,640,396,94,141,117.67672413793103,118.0,6.647185082387236
90,456,473,300,640,437,97,143,119.55995297805643,120.0,7.542326416437013
44,442,523,300,640,406,94,147,119.72296238244515,120.0,8.28217896467914
19,185,292,300,640,394,99,146,121.44122257053291,121.0,6.924446250213258
33,333,371,300,640,380,99,148,120.5184169278997,120.0,7.015464735587027
68,416,342,300,640,426,90,143,119.24921630094043,119.0,6.7646131854545235
121,523,570,300,640,416,97,149,122.625,123.0,7.806790233257296
